2021-10-13 12:10:389 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:55 INFO  LoginPage :27 - Entering UserName [[ChromeDriver: chrome on WINDOWS (c5d012977321ed1d3f4d87039b0edc41)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:181 INFO  LoginPage :31 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (c5d012977321ed1d3f4d87039b0edc41)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:311 INFO  LoginPage :35 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (c5d012977321ed1d3f4d87039b0edc41)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:524 INFO  LoginPage :39 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //p[@class = 'color-white text-body-medium top-margin-2 ng-star-inserted']'
2021-10-13 12:10:625 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:537 INFO  ResetAcessPage :19 - Clicking on forgotten password linl [[ChromeDriver: chrome on WINDOWS (9ae6d5634e791c7434fcb1f2ccc7cf83)] -> xpath: //a[@id = 'forgotPasswordHref']]
2021-10-13 12:10:561 INFO  ResetAcessPage :22 - Verifying Page Message[[ChromeDriver: chrome on WINDOWS (9ae6d5634e791c7434fcb1f2ccc7cf83)] -> xpath: //p[@id = 'signInHeading']]
2021-10-13 12:10:662 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:654 INFO  LoginPage :27 - Entering UserName [[ChromeDriver: chrome on WINDOWS (47013b5a5ede36937130931c4513e57b)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:774 INFO  LoginPage :31 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (47013b5a5ede36937130931c4513e57b)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:907 INFO  LoginPage :35 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (47013b5a5ede36937130931c4513e57b)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:96 INFO  LoginPage :39 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //p[@class = 'color-white text-body-medium top-margin-2 ng-star-inserted']'
2021-10-13 12:10:197 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:671 INFO  ResetAcessPage :19 - Clicking on forgotten password linl [[ChromeDriver: chrome on WINDOWS (8e09e8a1b8c5d9fe48f65ff810a6a19c)] -> xpath: //a[@id = 'forgotPasswordHref']]
2021-10-13 12:10:708 INFO  ResetAcessPage :22 - Verifying Page Message[[ChromeDriver: chrome on WINDOWS (8e09e8a1b8c5d9fe48f65ff810a6a19c)] -> xpath: //p[@id = 'signInHeading']]
2021-10-13 12:10:588 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:343 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (c4ff76dcf88d4b6d884fcdd882763678)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:473 INFO  LoginPage :33 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (c4ff76dcf88d4b6d884fcdd882763678)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:612 INFO  LoginPage :37 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (c4ff76dcf88d4b6d884fcdd882763678)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:813 INFO  LoginPage :41 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //p[@class = 'color-white text-body-medium top-margin-2 ng-star-inserted']'
2021-10-13 12:10:954 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:921 INFO  LoginPage :49 - Clicking on forgotten password link [[ChromeDriver: chrome on WINDOWS (732f2c22cbe5859852ec5738356a3a33)] -> xpath: //a[@id = 'forgotPasswordHref']]
2021-10-13 12:10:945 INFO  ResetAcessPage :19 - Verifying Page Message[[ChromeDriver: chrome on WINDOWS (732f2c22cbe5859852ec5738356a3a33)] -> xpath: //p[@id = 'signInHeading']]
2021-10-13 12:10:425 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:422 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (3144a095b13e8504c03a6e05a98af199)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:534 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (3144a095b13e8504c03a6e05a98af199)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:653 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (3144a095b13e8504c03a6e05a98af199)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:797 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (3144a095b13e8504c03a6e05a98af199)] -> xpath: //div[@data-qa = 'signin-div-error-display']]
2021-10-13 12:10:853 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:394 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:269 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (66e5e26bde2e8e140ab9de61954feee8)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 12:10:381 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (66e5e26bde2e8e140ab9de61954feee8)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 12:10:497 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (66e5e26bde2e8e140ab9de61954feee8)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 12:10:633 INFO  LoginPage :44 - Getting Error Message [[ChromeDriver: chrome on WINDOWS (66e5e26bde2e8e140ab9de61954feee8)] -> xpath: //div[@data-qa = 'signin-div-error-display']]
2021-10-13 12:10:702 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 12:10:986 INFO  BasePage :32 - Launching Chrome Browser 
